Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
18563,23/8/2017 12:00:00 AM,430.12,3,30.4,66.7,4,?,-,Mitsui QC20,Panel 2 - Incoming Panel,Bottom
18564,23/8/2017 12:00:00 AM,1068.28,1,30.4,66.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point A
18564,11/7/2018 12:00:00 AM,419.57,6,29.1,71.6,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point A
18564,12/3/2019 12:00:00 AM,324.41,6,36.1,45.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point A
18565,23/8/2017 12:00:00 AM,435.4,8,30.4,66.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point B
18565,11/7/2018 12:00:00 AM,423.66,1,29.1,71.6,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point B
18565,12/3/2019 12:00:00 AM,458.69,4,36.1,45.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point B
18566,23/8/2017 12:00:00 AM,435.75,2,30.4,66.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point C
18566,11/7/2018 12:00:00 AM,371.05,7,29.1,71.6,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point C
18566,12/3/2019 12:00:00 AM,294.25,6,36.1,45.7,2,?,-,Mitsui QC20,Transformer 1200KVA (S/N: A1T60603T601-2) (11kV/440V),High Voltage side Point C
18567,23/8/2017 12:00:00 AM,244.53,4,30.4,66.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point A
18567,11/7/2018 12:00:00 AM,344.99,4,29.1,71.6,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point A
18567,12/3/2019 12:00:00 AM,243.13,4,36.1,45.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point A
18568,23/8/2017 12:00:00 AM,298.92,4,30.4,66.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point B
18568,11/7/2018 12:00:00 AM,218.02,2,29.1,71.6,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point B
18568,12/3/2019 12:00:00 AM,234.77,5,36.1,45.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point B
18569,23/8/2017 12:00:00 AM,415.93,2,30.4,66.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point C
18569,11/7/2018 12:00:00 AM,373.82,4,29.1,71.6,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point C
18569,12/3/2019 12:00:00 AM,121.57,7,36.1,45.7,2,?,-,Mitsui QC20,Transformer 150KVA (S/N: A1T60603T602-2) (11kV/415V),High Voltage side Point C
18570,23/8/2017 12:00:00 AM,477.45,3,33.3,57.4,20,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18570,11/7/2018 12:00:00 AM,653.07,2,29.6,71.1,4,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18570,12/3/2019 12:00:00 AM,197.71,4,37.2,49.3,4,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18571,23/8/2017 12:00:00 AM,686.73,7,33.3,57.4,20,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18571,11/7/2018 12:00:00 AM,409.3,3,29.6,71.1,4,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18571,12/3/2019 12:00:00 AM,306.22,7,37.2,49.3,4,?,-,Mitsui QC21,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18572,23/8/2017 12:00:00 AM,878.9,6,33.3,57.4,20,?,-,Mitsui QC21,Panel 2 - Incoming Panel,Top
